"RC1","RC2","RC3","phenotype"
0.736235740060927,-0.352064244689145,0.289250798771814,"Cancer"
1.03600620856495,-2.0090707956146,2.41125587761284,"Cancer"
-0.20114796292625,-1.31339661699231,0.448832141079481,"Cancer"
2.61437517832451,0.387369872261246,2.409093541284,"Cancer"
-0.0810624849455979,-1.6522139801279,1.38373822529871,"Cancer"
2.26798794264986,0.957210766535509,2.27654005806233,"Cancer"
2.15536539065806,-2.97698081309244,0.649539519542287,"Cancer"
0.507976686102867,-1.93055714537705,0.345611414410747,"Cancer"
0.453442133161961,-0.431371058854792,1.83675677550063,"Cancer"
2.15276845241283,-2.48096319353621,2.10604022513,"Cancer"
0.607761748830115,-2.74343776739204,2.92025760261672,"Cancer"
0.674171688466465,-1.44783635871038,3.86448778747252,"Cancer"
2.25958820705258,-2.77417823456315,2.19411493451364,"Cancer"
1.75572103891024,-0.509461514604014,-0.13420418216319,"Cancer"
1.48897372704134,-1.26926704158875,3.71862232844696,"Cancer"
-0.610023480914477,-0.76060863446711,-1.32214472151979,"Control"
-0.602881082962361,-1.47133837706519,-0.90479370711924,"Control"
0.510394985465433,1.61221032738526,-0.228191139383254,"Control"
1.12887550694926,-2.33683840888195,0.800736004006434,"Control"
0.651222989331593,0.103498093958339,-1.20935172299299,"Control"
-0.280486135810291,-0.692435048155048,0.00870605742464176,"Control"
-1.23906560346366,-0.255336205812199,-0.48605174815506,"Control"
-1.02089347270611,0.320764544568661,-1.11712739858253,"Control"
-1.50044008840898,-0.14105765018542,0.879997290388081,"Control"
-0.390035943046939,1.14850265558725,-0.98048106968098,"Control"
-0.950261888689748,0.238826291167715,-0.769921582165347,"Control"
1.41454267659994,-1.4135548213338,-1.4524099987941,"Control"
1.97070427261745,0.776454851141457,-1.30032542257686,"Control"
-0.405569595568096,0.844463324874526,-0.250066735261263,"Control"
-1.19529987072159,0.167492990588757,1.34774037565606,"Control"
0.608207755054726,-0.5282877645647,-0.126886014302082,"Control"
-1.15198214037493,0.622729415841279,-1.17511650615996,"Control"
0.166709130747444,0.408094404466256,-0.0670406702587849,"Control"
0.337563302687432,-0.9881943959102,-1.42252275492338,"Control"
-1.22851493584577,0.7648851729029,1.18701628672472,"Control"
0.047426503159107,0.257260580683392,0.480080499219975,"Control"
-1.02882588282171,0.143902518608599,-0.335428877498044,"Control"
2.32518026679135,1.39793246344851,-0.875146115050359,"Control"
0.373283744221411,-0.368550259704895,-1.22353934548209,"Control"
-0.871330208332045,-1.50073684981666,-1.39795924957878,"Control"
0.56233260016111,0.609041860419228,-0.262835794885427,"Control"
0.668349504408544,0.805478006310743,-1.65678833919977,"Control"
-0.182641113516462,0.929998761103459,0.483190292423597,"Control"
-1.22851493584577,0.7648851729029,1.18701628672472,"Control"
0.537844314516607,-1.82297504601289,-0.953421623572232,"Control"
-1.24745685803271,-1.270105279123,0.661713600665207,"Control"
-1.22037163414297,0.66589400775289,-0.104201276235699,"Control"
-1.02089347270611,0.320764544568661,-1.11712739858253,"Control"
2.33072663024891,1.79495891785473,-0.709862972423065,"Control"
-0.255758378327776,0.136722168950015,-0.387446372117358,"Control"
-0.420310063987016,-0.077681015924033,-0.749611782766274,"Control"
-0.761905034418828,0.426650417388036,-1.53619477341389,"Control"
1.07900860461298,-4.19816149564989e-05,-1.3522866202611,"Control"
0.477635183730408,-0.489188189680405,-0.520752700592316,"Control"
0.534676736723336,0.226217541662987,2.42280004799355,"Control"
-0.283216188407189,0.855287614560304,-0.892406360297336,"Control"
-0.944931316783322,1.73178375562669,-1.55953922548914,"Control"
1.99577603603883,0.278053833977324,0.151616229314898,"Control"
-0.806523636888188,-0.849441595537421,0.735346032689172,"Control"
-1.1084357802483,-1.39520812443556,-0.0619958128418616,"Control"
0.0325815920287529,0.613055437521878,-1.76966920621888,"Control"
1.0056647061925,-0.567701839917947,1.54489176260978,"Control"
1.03761317650697,-0.693272063721684,-0.8747644022481,"Control"
0.224193108900684,-0.198047608093564,0.0635978168663357,"Control"
-1.24166254170889,0.240681413744026,0.970448957432651,"Control"
0.412760854758802,-0.286076672983314,-1.21219441625814,"Control"
-0.378111785488683,0.125897879264237,0.254893252918714,"Control"
-1.26673430513027,0.73908243090816,-0.48149269445911,"Control"
-0.368372449291339,-1.08084948289007,-0.784256438268447,"Control"
0.0877689693615027,-0.568962382337232,-0.669193475214307,"Control"
0.657820156047722,1.12463359990691,0.581410887472435,"Control"
0.280882174926507,-0.871703570268838,-0.0711339883505183,"Control"
-0.305023192317605,0.692940316939762,0.518121452083828,"Control"
0.409361066121258,0.699592133491368,-1.23772096436841,"Control"
-0.426997198549983,-2.06574197270576,-1.29880026944454,"Control"
0.868854843341603,-0.0120345484047308,1.08744363330778,"Control"
1.19637902687063,0.726964356073201,0.408856124002327,"Control"
-0.0854022281181713,-2.57007340601783,-0.512217278796924,"Control"
-0.686775649000748,-3.05921961408328,0.319316640871855,"Control"
-0.269476623738945,1.16569337791079,1.31570726456864,"Control"
0.505064413559007,0.119252862926289,0.561426503940539,"Control"
-1.01013191350102,1.06513273217369,0.0464215944213169,"Control"
-1.18439435510679,0.730470411236965,0.146186658606685,"Control"
2.04473564527136,-0.291152208734171,-0.927593058049404,"Control"
-0.740022168047792,0.638065015588514,-0.619298711508331,"Control"
